2460910.500000000, 1.307318038363215E+08, -7.613840098180003E+07,  3.666939244348556E+03
2460910.510416667, 1.307448660715220E+08, -7.611532420123710E+07,  3.666436222180724E+03
2460910.520833333, 1.307579242254242E+08, -7.609224504316191E+07,  3.665933967817575E+03
2460910.531250000, 1.307709782975664E+08, -7.606916350833166E+07,  3.665432475659996E+03
2460910.541666667, 1.307840282874874E+08, -7.604607959750362E+07,  3.664931740138680E+03
2460910.552083333, 1.307970741947260E+08, -7.602299331143521E+07,  3.664431755669415E+03
2460910.562500000, 1.308101160188214E+08, -7.599990465088396E+07,  3.663932516660541E+03
2460910.572916667, 1.308231537593132E+08, -7.597681361660759E+07,  3.663434017539024E+03
2460910.583333333, 1.308361874157410E+08, -7.595372020936388E+07,  3.662936252713203E+03
2460910.593750000, 1.308492169876448E+08, -7.593062442991072E+07,  3.662439216576517E+03
2460910.604166667, 1.308622424745649E+08, -7.590752627900623E+07,  3.661942903548479E+03
2460910.614583333, 1.308752638760417E+08, -7.588442575740857E+07,  3.661447308044881E+03
2460910.625000000, 1.308882811916161E+08, -7.586132286587605E+07,  3.660952424455434E+03
2460910.635416667, 1.309012944208291E+08, -7.583821760516712E+07,  3.660458247207105E+03
2460910.645833333, 1.309143035632221E+08, -7.581510997604035E+07,  3.659964770678431E+03
2460910.656250000, 1.309273086183365E+08, -7.579199997925442E+07,  3.659471989300102E+03
2460910.666666667, 1.309403095857143E+08, -7.576888761556813E+07,  3.658979897439480E+03
2460910.677083333, 1.309533064648975E+08, -7.574577288574043E+07,  3.658488489504904E+03
2460910.687500000, 1.309662992554285E+08, -7.572265579053041E+07,  3.657997759900987E+03
2460910.697916667, 1.309792879568500E+08, -7.569953633069724E+07,  3.657507703032345E+03
2460910.708333333, 1.309922725687048E+08, -7.567641450700018E+07,  3.657018313266337E+03
2460910.718750000, 1.310052530905361E+08, -7.565329032019876E+07,  3.656529585033655E+03
2460910.729166667, 1.310182295218873E+08, -7.563016377105244E+07,  3.656041512690485E+03
2460910.739583333, 1.310312018623022E+08, -7.560703486032096E+07,  3.655554090648890E+03
2460910.750000000, 1.310441701113246E+08, -7.558390358876410E+07,  3.655067313306034E+03
2460910.760416667, 1.310571342684988E+08, -7.556076995714176E+07,  3.654581175036728E+03
2460910.770833333, 1.310700943333693E+08, -7.553763396621400E+07,  3.654095670226961E+03
2460910.781250000, 1.310830503054809E+08, -7.551449561674102E+07,  3.653610793292522E+03
2460910.791666667, 1.310960021843785E+08, -7.549135490948302E+07,  3.653126538582146E+03
2460910.802083333, 1.311089499696075E+08, -7.546821184520042E+07,  3.652642900504172E+03
2460910.812500000, 1.311218936607134E+08, -7.544506642465375E+07,  3.652159873437136E+03
2460910.822916667, 1.311348332572419E+08, -7.542191864860368E+07,  3.651677451774478E+03
2460910.833333333, 1.311477687587393E+08, -7.539876851781091E+07,  3.651195629894733E+03
2460910.843750000, 1.311607001647518E+08, -7.537561603303632E+07,  3.650714402176440E+03
2460910.854166667, 1.311736274748259E+08, -7.535246119504091E+07,  3.650233763005584E+03
2460910.864583333, 1.311865506885087E+08, -7.532930400458580E+07,  3.649753706764430E+03
2460910.875000000, 1.311994698053472E+08, -7.530614446243219E+07,  3.649274227835238E+03
2460910.885416667, 1.312123848248889E+08, -7.528298256934142E+07,  3.648795320592821E+03
2460910.895833333, 1.312252957466814E+08, -7.525981832607493E+07,  3.648316979426891E+03
2460910.906250000, 1.312382025702726E+08, -7.523665173339432E+07,  3.647839198704809E+03
2460910.916666667, 1.312511052952107E+08, -7.521348279206121E+07,  3.647361972812563E+03
2460910.927083333, 1.312640039210442E+08, -7.519031150283748E+07,  3.646885296136141E+03
2460910.937500000, 1.312768984473218E+08, -7.516713786648494E+07,  3.646409163028002E+03
2460910.947916667, 1.312897888735926E+08, -7.514396188376570E+07,  3.645933567911386E+03
2460910.958333333, 1.313026751994057E+08, -7.512078355544186E+07,  3.645458505127579E+03
2460910.968750000, 1.313155574243107E+08, -7.509760288227563E+07,  3.644983969051391E+03
2460910.979166667, 1.313284355478573E+08, -7.507441986502941E+07,  3.644509954079986E+03
2460910.989583333, 1.313413095695957E+08, -7.505123450446568E+07,  3.644036454588175E+03
2460911.000000000, 1.313541794890761E+08, -7.502804680134700E+07,  3.643563464947045E+03
2460911.010416667, 1.313670453058490E+08, -7.500485675643605E+07,  3.643090979527682E+03
2460911.020833333, 1.313799070194655E+08, -7.498166437049566E+07,  3.642618992719799E+03
2460911.031250000, 1.313927646294765E+08, -7.495846964428873E+07,  3.642147498890758E+03
2460911.041666667, 1.314056181354335E+08, -7.493527257857828E+07,  3.641676492415369E+03
2460911.052083333, 1.314184675368880E+08, -7.491207317412741E+07,  3.641205967679620E+03
2460911.062500000, 1.314313128333919E+08, -7.488887143169941E+07,  3.640735919054598E+03
2460911.072916667, 1.314441540244976E+08, -7.486566735205758E+07,  3.640266340915114E+03
2460911.083333333, 1.314569911097573E+08, -7.484246093596540E+07,  3.639797227639705E+03
2460911.093750000, 1.314698240887237E+08, -7.481925218418644E+07,  3.639328573610634E+03
2460911.104166667, 1.314826529609499E+08, -7.479604109748435E+07,  3.638860373202711E+03
2460911.114583333, 1.314954777259891E+08, -7.477282767662291E+07,  3.638392620798200E+03
2460911.125000000, 1.315082983833947E+08, -7.474961192236599E+07,  3.637925310753286E+03
2460911.135416667, 1.315211149327205E+08, -7.472639383547759E+07,  3.637458437480032E+03
2460911.145833333, 1.315339273735205E+08, -7.470317341672178E+07,  3.636991995319724E+03
