,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,siderealtime
100,ATLAS (C/2025 N1),2025-Aug-30 09:05:38.600,2460917.878918982,12.3,,4.5,m,19.0460855858
101,ATLAS (C/2025 N1),2025-Aug-30 09:03:11.520,2460917.877216666,12.3,,4.5,m,19.0051181707
102,ATLAS (C/2025 N1),2025-Aug-30 09:07:50.680,2460917.880447685,12.3,,4.5,m,19.0828749262
103,ATLAS (C/2025 N1),2025-Aug-30 09:14:35.990,2460917.885138773,12.3,,4.5,m,19.19576929
104,ATLAS (C/2025 N1),2025-Aug-30 09:12:19.390,2460917.883557755,12.3,,4.5,m,19.1577209564
105,ATLAS (C/2025 N1),2025-Aug-30 09:19:04.640,2460917.888248148,12.3,,4.5,m,19.270598608
106,ATLAS (C/2025 N1),2025-Aug-30 09:16:48.050,2460917.886667246,12.3,,4.5,m,19.2325530597
107,ATLAS (C/2025 N1),2025-Aug-30 09:28:01.920,2460917.894466667,12.3,,4.5,m,19.420251673
108,ATLAS (C/2025 N1),2025-Aug-30 09:25:45.300,2460917.892885417,12.3,,4.5,m,19.3821977686
109,ATLAS (C/2025 N1),2025-Sep-02 07:56:14.090,2460920.830718634,12.3,,4.5,m,18.083243082
110,ATLAS (C/2025 N1),2025-Sep-02 07:50:58.020,2460920.827060417,12.3,,4.5,m,17.995205473
111,ATLAS (C/2025 N1),2025-Sep-02 07:45:35.180,2460920.823323843,12.3,A,4.5,m,17.9052821595
112,ATLAS (C/2025 N1),2025-Sep-02 08:06:39.240,2460920.837954167,12.3,,4.5,m,18.2573713172
113,ATLAS (C/2025 N1),2025-Sep-02 08:01:26.820,2460920.834338194,12.3,,4.5,m,18.170350373
114,ATLAS (C/2025 N1),2025-Sep-02 08:43:44.380,2460920.863708102,12.3,,4.5,m,18.8771580901
115,ATLAS (C/2025 N1),2025-Sep-02 08:38:28.320,2460920.86005,12.3,,4.5,m,18.7891232665
116,ATLAS (C/2025 N1),2025-Sep-02 08:33:15.950,2460920.856434606,12.3,,4.5,m,18.7021162493
117,ATLAS (C/2025 N1),2025-Sep-02 08:59:24.900,2460920.87459375,12.3,,4.5,m,19.1391289574
118,ATLAS (C/2025 N1),2025-Sep-02 08:54:08.880,2460920.870936111,12.3,,4.5,m,19.0511052753
119,ATLAS (C/2025 N1),2025-Sep-02 08:48:56.550,2460920.867321181,12.3,,4.5,m,18.9641093996
120,ATLAS (C/2025 N1),2025-Jul-01 08:19:15.170,2460857.846703357,12.3,,4.5,m,14.3281791101
121,ATLAS (C/2025 N1),2025-Jul-01 08:31:45.210,2460857.855384375,12.3,,4.5,m,14.5370939741
122,ATLAS (C/2025 N1),2025-Jul-01 08:41:08.240,2460857.861900926,12.3,,4.5,m,14.6939193913
