,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
84,Earth (399),2460913.899338426,A.D. 2025-Aug-26 09:35:02.8400,0.9009172778197415,-0.4577992272926097,2.347445544867039e-05,0.007514200896399876,0.01527989696825575,-3.483053128703524e-07,0.005836509407934816,1.010560277536622,-0.0002230956646433618
85,Earth (399),2460913.896180208,A.D. 2025-Aug-26 09:30:29.9700,0.9008935450424208,-0.4578474838786553,2.347555517853565e-05,0.007515021516903822,0.01527948319968469,-3.481191273043901e-07,0.005836513477157241,1.010560982100644,-0.0002230825993419398
86,Earth (399),2460913.894574421,A.D. 2025-Aug-26 09:28:11.2300,0.90088147718329,-0.4578720193057867,2.34761141078063e-05,0.007515438750547941,0.01527927280254946,-3.480245654910296e-07,0.005836515546050781,1.010561340318456,-0.0002230759554411242
87,Earth (399),2460913.902445486,A.D. 2025-Aug-26 09:39:31.2900,0.9009406236399273,-0.4577517511007872,2.34733729581551e-05,0.007513393546604559,0.0152803039896245,-3.48488746426258e-07,0.005836505404393892,1.010559584344999,-0.0002231085160596301
88,Earth (399),2460913.90889375,A.D. 2025-Aug-26 09:48:48.4200,0.9009890665818808,-0.4576532169452421,2.34711245813299e-05,0.007511717937143864,0.01528114856277845,-3.488702715229554e-07,0.005836497094875203,1.010558145596438,-0.0002231351802279453
89,Earth (399),2460913.910449768,A.D. 2025-Aug-26 09:51:02.8600,0.9010007546395127,-0.4576294390365447,2.347058166092531e-05,0.007511313584974987,0.01528135233642109,-3.489625052721072e-07,0.005836495089572051,1.01055779838896,-0.0002231416130670903
90,Earth (399),2460913.905686458,A.D. 2025-Aug-26 09:44:11.3100,0.9009649729749879,-0.4577022273720773,2.347224320538444e-05,0.007512551377522216,0.01528072850586397,-3.486803645900309e-07,0.005836501228057544,1.010558861234776,-0.0002231219189827579
91,Earth (399),2460913.913557407,A.D. 2025-Aug-26 09:55:31.3600,0.9010240958348917,-0.4575819494794298,2.346949692504399e-05,0.007510506007292498,0.0152817592743021,-3.491469082105667e-07,0.005836491084460806,1.010557104925445,-0.0002231544588845418
92,Earth (399),2460913.923116435,A.D. 2025-Aug-26 10:09:17.2600,0.9010958770972056,-0.4574358647363671,2.346615670315723e-05,0.007508021780559871,0.01528301072683813,-3.497157651408065e-07,0.005836478763383086,1.010554971596969,-0.0002231939583038271
93,Earth (399),2460913.92156169,A.D. 2025-Aug-26 10:07:02.9300,0.9010842037209879,-0.4574596257683411,2.346670035005357e-05,0.007508425846069553,0.01528280721078158,-3.496230741450827e-07,0.005836480767515556,1.01055531860175,-0.0002231875352917366
94,Earth (399),2460917.795088194,A.D. 2025-Aug-30 07:04:55.6200,0.9281979920853802,-0.3973239862638243,2.144023537711788e-05,0.006486081140965768,0.01575517979427743,-7.44827905445987e-07,0.005831322844751084,1.009662251959333,-0.0002372509857853183
95,Earth (399),2460917.793506134,A.D. 2025-Aug-30 07:02:38.9300,0.928187730379647,-0.3973489117650957,2.144141357205176e-05,0.006486504635957525,0.01575500103554844,-7.446159644203229e-07,0.005831325012542627,1.009662627300803,-0.0002372460955523807
96,Earth (399),2460917.799789467,A.D. 2025-Aug-30 07:11:41.8100,0.9282284819662421,-0.3972499156115821,2.143673225694943e-05,0.006484822650496679,0.01575571092801071,-7.45457872793911e-07,0.00583131640264645,1.009661136543492,-0.0002372655133208261
97,Earth (399),2460917.79820868,A.D. 2025-Aug-30 07:09:25.2300,0.9282182305081952,-0.3972748218940151,2.143791049962049e-05,0.0064852458180541,0.01575553234751528,-7.45246021673739e-07,0.005831318568826145,1.00966151160588,-0.0002372606292134325
98,Earth (399),2460917.804820023,A.D. 2025-Aug-30 07:18:56.4500,0.9282611008396049,-0.3971706542031379,2.143298049364663e-05,0.006483475969930653,0.01575627914972217,-7.46132229003881e-07,0.005831309508892872,1.009659942927061,-0.0002372810511673486
99,Earth (399),2460917.80323669,A.D. 2025-Aug-30 07:16:39.6500,0.9282508350004212,-0.3971956015035647,2.143416170162624e-05,0.006483899833436902,0.01575610031840476,-7.459199504096811e-07,0.005831311678703863,1.009660318618188,-0.0002372761615395843
100,Earth (399),2460917.878918982,A.D. 2025-Aug-30 09:05:38.6000,0.9287407845964398,-0.3960028205805642,2.137732405366614e-05,0.006463634402485415,0.01576463536875499,-7.560967393561116e-07,0.005831207913273679,1.009642352190895,-0.0002375090553454141
101,Earth (399),2460917.877216666,A.D. 2025-Aug-30 09:03:11.5200,0.9287297810677568,-0.3960296567897567,2.13786109728943e-05,0.006464090343850541,0.01576444368188657,-7.558671667526764e-07,0.005831210248377775,1.009642756501635,-0.0002375038354781408
102,Earth (399),2460917.880447685,A.D. 2025-Aug-30 09:07:50.6800,0.9287506652653239,-0.3959787209925361,2.137616804818196e-05,0.006463224956022943,0.01576480749495596,-7.563029247959739e-07,0.005831205816272178,1.00964198910634,-0.0002375137421330603
103,Earth (399),2460917.885138773,A.D. 2025-Aug-30 09:14:35.9900,0.928780981875002,-0.3959047656550522,2.137261868026676e-05,0.00646196847362795,0.01576533562608041,-7.569357926206665e-07,0.00583119938100724,1.009640874874757,-0.0002375281200284049
104,Earth (399),2460917.883557755,A.D. 2025-Aug-30 09:12:19.3900,0.9287707650484186,-0.3959296908019367,2.137381524119302e-05,0.006462391945238729,0.01576515764354101,-7.567224740136296e-07,0.005831201549902233,1.009641250407283,-0.0002375232750307838
105,Earth (399),2460917.888248148,A.D. 2025-Aug-30 09:19:04.6400,0.9288010732634048,-0.3958557447704374,2.137026443072826e-05,0.006461135622744511,0.015765685629026,-7.573554005760026e-07,0.005831195115331788,1.009640136295947,-0.0002375376464864844
106,Earth (399),2460917.886667246,A.D. 2025-Aug-30 09:16:48.0500,0.928790858501432,-0.3958806686459913,2.13714615673645e-05,0.006461559072150758,0.01576550768225055,-7.571420462511459e-07,0.005831197284154993,1.009640511816044,-0.0002375328032965944
107,Earth (399),2460917.894466667,A.D. 2025-Aug-30 09:28:01.9200,0.9288412467758919,-0.3957577033863069,2.136555219216361e-05,0.006459469931092135,0.01576638547472713,-7.58194887678441e-07,0.005831186583785368,1.009638659104476,-0.0002375566901194364
